   1    5   17    9   21   29 
   1   17    5   21    9   29 
   1   17    5    9   21   29 
   1   17    5    9   21   29 
   1   17    5    9   21   29 
   1   17    5    9   21   29 
   1   17    5    9   21   29 
   1   17    5    9   21   29 
   1   17    5    9   21   29 
   1   17    5    9   21   29 
   1    5   17    9   21   29 
   1    5   17    9   21   29 
   1    5   17    9   21   29 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    5    9   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1    9   17    5   21   29   77 
   1   17    5    9   21   29   77 
   1    5    9   17   21   29   77 
   1    5    9   17   21   29   77 
   1    5    9   17   21   29   77 
   1    9    5   17   21   29   77 
   1    5    9   17   21   29   77 
   1    9    5   17   21   29   77 
   1    5   17    9   21   29   77 
   1    9   17    5   21   29   77 
   1    5   17   21    9   29   69   25   68   77 
   1    9   17    5   21   29   77 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1    5   17    9   21   29   69   25   68   77   81   80 
   1    5   17    9   21   29   69   25   68   77   81   80 
   1    5    9   17   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9    5   17   21   29   69   25   68   77   81   80 
   1    9    5   17   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
